admin_name,email,password,shop_id
グリーンハウス,shop66@example.com,Bn2TZgQU,66
天下一品 小野店,shop67@example.com,uP5DcQ3V,67
誉田の館 いろどり,shop68@example.com,E6ny8FCH,68
ミスタードーナツ イオン小野,shop69@example.com,aR7HA5tp,69
うまいもん横丁小野店,shop70@example.com,n3WSdrLD,70
大和,shop71@example.com,Tx8YFPWL,71
松義,shop72@example.com,f3VQwjMG,72
かくれ家,shop73@example.com,wS4RYXsP,73
グリーングラス,shop74@example.com,Cj6EmKVq,74
鳥ちゅう,shop75@example.com,Wk48KUAM,75
獅子銀 ゆぴか店,shop76@example.com,Dc4YFnsx,76
山海,shop77@example.com,j8V7Xivp,77
シェリル,shop78@example.com,v8DC7sTV,78
BAR ZIPPER,shop79@example.com,M7zCNe9j,79
ちどり,shop80@example.com,k7FgYUBq,80
ラーメン 八角 小野店,shop81@example.com,X5mc8TRG,81
クローバーハウス,shop82@example.com,rD2PNvmq,82
入舟,shop83@example.com,Rc7TCUzs,83
やきとり大吉 葉多店,shop84@example.com,nS67FMu9,84
かおるちゃん,shop85@example.com,Zk7c25xb,85
かんぱい,shop86@example.com,Q9ce3XAL,86
獅子銀 小野店,shop87@example.com,mF2Qpt7Z,87
おがわ,shop88@example.com,e3ZBwNDJ,88
ほのか,shop89@example.com,Bc8F9Ruj,89
松屋,shop90@example.com,Mt2ReEDK,90
さくら屋,shop91@example.com,c4CReBtU,91
丸味,shop92@example.com,P5zemDEx,92
らんめん,shop93@example.com,X7kS6hGs,93
DINING 凜花,shop94@example.com,yF3mKS82,94
なずな食堂,shop95@example.com,dM9B5KQp,95
くるま,shop96@example.com,K7rvFkBA,96
カフェ ムーンローズ,shop97@example.com,s6Gpgx5Z,97
鳥一松本,shop98@example.com,B8ktvMLf,98
石焼 とり翔,shop99@example.com,u8P9WKNY,99
カラオケキッサ さつき,shop100@example.com,K2uGLftn,100
山水荘,shop101@example.com,y7ML2KNi,101
小山尚美園,shop102@example.com,aN4HuAFY,102
好きやめん,shop103@example.com,g8BGQJLi,103
カラオケスカイ 小野店,shop104@example.com,Mv9A6R42,104
大釜屋 小野店,shop105@example.com,eF6DAjiJ,105
くいしん坊,shop106@example.com,Pa8Q7Xcq,106
KAゑMON,shop107@example.com,Lj57Kmyg,107
ふるさとカフェ お茶○ん,shop108@example.com,Sh9UeDdb,108
きららのお昼ごはん,shop109@example.com,jG6ZMEqw,109
ステーキ吉田,shop110@example.com,c7XSNn5H,110
nonna,shop111@example.com,C2hZsegn,111
椿屋珈琲店,shop112@example.com,Yq8AuGMy,112
居酒屋 笑いや,shop113@example.com,Vu9kqWxB,113
穴門 炭火焼鳥,shop114@example.com,aU7TpSMk,114
雅,shop115@example.com,dZ6NkxhF,115
CAFE’ DE ARCHE,shop116@example.com,Zh3umvB2,116
由紀,shop117@example.com,q2JLRFVx,117
串GEN,shop118@example.com,x7D2M3Bh,118
炭火焼肉 いっきゅう,shop119@example.com,yU4wQNEu,119
赤い鳥,shop120@example.com,Gz3cNnZq,120
誠友,shop121@example.com,j6HmU3JX,121
風の森,shop122@example.com,cM8hyeVK,122
ジョイフル 兵庫小野店,shop123@example.com,Yn2Dci97,123
凰蘭,shop124@example.com,Cw7q4vsp,124
クレオール,shop125@example.com,Wz8TBJdm,125
ザコーヒー・クラブ,shop126@example.com,V3tBwce8,126
焼肉 ふくろう,shop127@example.com,sR956jeY,127
マカール,shop128@example.com,L3wxfVhX,128
スピリッツ,shop129@example.com,eQ6CUzSw,129
GRIZZLYcoffee＆climbingwall,shop130@example.com,A2vST7Ep,130
バニー,shop131@example.com,tM9nYXeL,131
よしくら,shop132@example.com,Sj6DPUXr,132
ぷらっときすみの 2号店,shop133@example.com,C8gaXSME,133
ローズウッドゴルフクラブレストラン,shop134@example.com,A4rCesDb,134
のんだりya,shop135@example.com,K9yTMaPA,135
お好み焼き 小町,shop136@example.com,W2fxFNPm,136
ふぐ料理＆割烹 孫市,shop137@example.com,e4VGnt5j,137
そろばん亭,shop138@example.com,Dt78jMaZ,138
アルティジャーナ ロッソ,shop139@example.com,mM7kKSpW,139
だるま家 小野店,shop140@example.com,bS9kBm2x,140
